Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","02/10/2024 06:18"
"Last updated:","02/10/2024 06:18"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Internally displaced persons"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=0vIeYb
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://www.internal-displacement.org
"Population / Solution types included","REF,ROC,ASY,IDP,IOC,OIP,OOC or RET,RDP"
Years:
Origin:,"ALB,AND,ARM,AUS,AZE,BLR,BEL,BSN,BVT,BUL,HRV,CYP,CZE,DEN,EST,FRO,FIN,FRA,GEO,GFR,GIB,GRE,GRL,VAT,HUN,ICE,IRE,ITA,LVA,LIE,LTU,LUX,MTA,MCO,MNE,NET,MCD,NOR,POL,POR,MDA,ROM,RUS,SMA,SRB,SVK,SVN,SPA,SJM,SWE,SWI,TUR,UKR,GBR"
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Total
2019,Azerbaijan,AZE,-,-,351000
2019,"Bosnia and Herzegovina",BIH,-,-,99000
2019,Cyprus,CYP,-,-,228000
2019,Georgia,GEO,-,-,301000
2019,"North Macedonia",MKD,-,-,140
2019,"Russian Federation",RUS,-,-,1800
2019,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,16000
2019,Türkiye,TUR,-,-,1099000
2019,Ukraine,UKR,-,-,730000
2020,Armenia,ARM,-,-,800
2020,Azerbaijan,AZE,-,-,735000
2020,"Bosnia and Herzegovina",BIH,-,-,99000
2020,Cyprus,CYP,-,-,228000
2020,Georgia,GEO,-,-,304000
2020,"North Macedonia",MKD,-,-,140
2020,"Russian Federation",RUS,-,-,1100
2020,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,16000
2020,Türkiye,TUR,-,-,1099000
2020,Ukraine,UKR,-,-,734000
2021,Armenia,ARM,-,-,800
2021,Azerbaijan,AZE,-,-,655000
2021,"Bosnia and Herzegovina",BIH,-,-,92000
2021,Cyprus,CYP,-,-,242000
2021,Georgia,GEO,-,-,305000
2021,"North Macedonia",MKD,-,-,110
2021,"Russian Federation",RUS,-,-,470
2021,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,16000
2021,Türkiye,TUR,-,-,1099000
2021,Ukraine,UKR,-,-,854000
2022,Armenia,ARM,-,-,7600
2022,Azerbaijan,AZE,-,-,659000
2022,"Bosnia and Herzegovina",BIH,-,-,91000
2022,Cyprus,CYP,-,-,246000
2022,France,FRA,-,-,10
2022,Georgia,GEO,-,-,308000
2022,"North Macedonia",MKD,-,-,110
2022,"Russian Federation",RUS,-,-,7200
2022,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,211000
2022,Türkiye,TUR,-,-,1099000
2022,Ukraine,UKR,-,-,5914000
2023,Armenia,ARM,-,-,8000
2023,Azerbaijan,AZE,-,-,658000
2023,"Bosnia and Herzegovina",BIH,-,-,91000
2023,Cyprus,CYP,-,-,248000
2023,Georgia,GEO,-,-,311000
2023,"North Macedonia",MKD,-,-,110
2023,"Russian Federation",RUS,-,-,60000
2023,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,210000
2023,Türkiye,TUR,-,-,1099000
2023,Ukraine,UKR,-,-,3689000
